topic_bin_id,cluster_number,member_count,center_x,center_y,representative_entity_id,representative_text
TBIN_F5A59A4CD60FBBFEE9F66FC0,0,76,0.16853953897953033,0.6226773858070374,PE_3FCD68FF77A271CEDE07A34C,"◯이상헌 위원 몇 차례 열렸다고요? 1년에 200건 넘게 접수가 신고되는데 사건을 심의하는 위원회 는 고작 1년에 한 번 열립니다. 이것도 모릅니 까? 위원회를 안 거친 사건들은 전부 다 소송 지원 으로 넘어갑니다. 맞지요, 이것도?"
TBIN_EBCE702D9F98820C5BD80AF0,1,17,0.6652169227600098,0.45962145924568176,PE_9F48EAE54DA313805BC72145,◯조은희위원 청장님답변이제가이해하기어려울정도로굉장히두루뭉술하세요. 제 질문은화재가나면대웅전과천왕문이보상받느냐는걸물어봤습니다.
TBIN_9B48F9D0951852A2B039D7AF,2,46,0.20711931586265564,0.6458873152732849,PE_04F62C97F283BA9F3A51088E,◯김승수 위원 어떻게 됩니까?
TBIN_B3F36A387DB4B743869D77A6,3,29,0.9760271310806274,0.47956281900405884,PE_0A37FE6C6AC4FC40D0E2DF40,◯민형배위원 피감기관은맞는데오늘참석대상이아니다?
TBIN_E2912C7E499A2C77C881C15D,4,108,0.09841936081647873,0.654358983039856,PE_EFE8720AC23F22FE0C01FF9A,◯류호정 위원 정의당 류호정입니다. 스포츠윤리센터 이사장직무대리님 그리고 대한 체육회 회장님께서 좀 들어 주시기 바라겠습니 다. 설명을 좀 드려야 되는데...... (영상자료를 보며) 지도자의 상습 성추행과 폭언으로 국가대표의 꿈을 포기하고 선수생활을 그만둔 스피드스케이 팅 선수가 있습
TBIN_BD6EEAFA63A92EF2A9B8A2C2,5,46,0.7654414772987366,0.16836537420749664,PE_A02AA5F832061706F92DEBAE,◯임오경위원 10년이넘는상황에서2건에불과하다?
TBIN_930735872F0BFB78A3A5A3F0,6,35,0.33890068531036377,0.3293531835079193,PE_7445B6F92130A17F364957DA,스크린상한제및배급-상영업 겸업금지도입에협조할것
TBIN_9A93E73037A801FB8E33872F,7,27,0.5522366166114807,0.18366040289402008,PE_D1A12F6C84232A1E0C34DED9,◯조계원위원 경찰청하고요?
TBIN_56314F37571966AA4D110D07,8,22,0.7066312432289124,0.9918009042739868,PE_60A6E6E5C9D274C2ABD6E2AF,◯박정하위원 없었지요?
TBIN_E8B42285E90AF5C659ACEBAA,9,25,0.1317790448665619,0.5593142509460449,PE_DCC0D35EC91F5FF71F2A7D70,◯유정주 위원 저기요? CISAC 들어 보셨나요?
TBIN_9CA2FF053126E599557EC1C4,10,12,0.36535122990608215,0.6410040259361267,PE_BFECDC7173BCFEFDE4650773,◯李達坤 위원 많이 옵니까?
TBIN_BBFEF65D47ABACC062DD749F,11,13,0.7465256452560425,0.5138354301452637,PE_BA9B843A350D6151A7C1BA9C,◯배현진위원 어쨌든그말했지요?
TBIN_15664A26C069219E2F770015,12,18,0.7249755263328552,0.30961400270462036,PE_56CCFE02C5FBF699C1E6A5B4,◯김재원위원 회의정확히며칠입니까?
TBIN_B8FE412532DC45E0AC90C7A0,13,21,0.5107612609863281,0.37115007638931274,PE_A51D9AFEE44B0B583B5C612A,◯신동욱위원 9000편이오?
TBIN_7D59FD5397ED4F0022C87434,14,30,0.945183515548706,0.8197460174560547,PE_1C1C894310B71627047A6BD1,◯양문석위원 뭘보여줘요?
TBIN_2953D5007F7059B68F1574DA,15,39,0.11866645514965057,0.6668969392776489,PE_FA9732A499340F00E0EACBE4,◯박정 위원 그런데 비장애인은 이게 900개나 돼요. 그래서 11% 정도밖에 안 되는 거고요. 그래서 국민체육진흥법 공공영역 실업팀 설치 근거가 마련되어 있기는 하지만 장애인 실업팀에 대한 강제력이 없어서 외면받고 있다. 그래서 이 번에 실어 줬는데 앞으로 패럴림픽을 계기로 파 리 대회
TBIN_34159A75C1C44A3950B8F0C5,16,24,0.6201848387718201,0.49763965606689453,PE_62098DFEB51F0628BECCE952,◯김승수위원 몇명퇴출시켰습니까?
TBIN_D0704E18F76F97ABFE9B342F,17,12,0.33692073822021484,0.5692912936210632,PE_05F016351C154B66FDC5214D,◯김예지 위원 전자카드.
TBIN_9711B0CB0BCA483798D1AEC0,18,19,0.18210935592651367,0.5775758624076843,PE_FE5A9A182CDBA9881547FB41,◯임오경 위원 정진완 회장님.
TBIN_C992E9F6D01666B56AA1E70E,19,13,0.3626755177974701,0.0033883603755384684,PE_E5ABA688D02C89F7BADFBE32,◯이기헌위원 공직복무담당관실아닌가요? 명칭이바뀌었습니까?
TBIN_AA13DC8F27F052457D7F4220,20,18,0.5433264374732971,0.5404516458511353,PE_10F25AC1297CFFC3AD136EB2,◯진종오위원 킥복싱협회전사무처장이요?
TBIN_C2FF16FBE1D92899645531B3,21,81,0.5896558165550232,0.42660167813301086,PE_45556FC2751B15707FD1F008,"◯최형두위원 최형두입니다. 장관님, 아침에제가문화정책을망치는낙하 산인사에대해서이야기했고, 특히최근에언론 진흥재단이사장선임이늦어지는문제이게청 와대비서실장후배그리고이낙연전국무총리이 자현민주당대표, 차기유력대선주자의비서실 장, 이두사람의각축으로지금되고있는문제 를이야기했습니다. 제가아까오전에도"
TBIN_99A65C82D38C74B2527E6955,22,17,0.06532212346792221,0.8260906338691711,PE_BEE1CA21397DC3E0577CDF15,◯배현진 위원 부채.
TBIN_2CD0EA2BC01A7823B798C53C,23,13,0.27770304679870605,0.32343724370002747,PE_27F590133B203CB0AA39819C,국립발레단개인방송및SNS 영리활동에대한지침을마련할것
